countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,popData2019,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CPV,Africa,Cape Verde,2020-01-19,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-20,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-21,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-22,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-23,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-24,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-25,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-26,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-27,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-28,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-29,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-30,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-01-31,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,-4,-2,-2,-7
CPV,Africa,Cape Verde,2020-02-01,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-03,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-04,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-05,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-06,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-07,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-08,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-09,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-10,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-11,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-12,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-13,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-14,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-15,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-16,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-17,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-18,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-19,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-20,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-21,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-22,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-23,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-24,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-25,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-26,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-27,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-28,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-02-29,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,-3,-1,0,-5
CPV,Africa,Cape Verde,2020-03-01,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-03,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-04,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-05,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-06,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-07,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-08,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-09,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-10,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-11,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-12,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-13,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-14,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-15,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-16,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-17,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-18,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-19,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-20,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-21,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-22,3,3,0,,0,0,5,5,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-23,3,0,0,,0,0,5,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-24,3,0,0,,0,0,5,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-25,3,0,0,,0,0,5,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-26,3,0,0,,0,0,5,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-27,3,0,0,,0,0,5,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-28,3,0,0,,0,0,5,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-29,5,2,0,,0,0,8,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-30,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-03-31,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,-48,-6,-17,-82
CPV,Africa,Cape Verde,2020-04-01,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-02,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-03,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-04,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-05,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-06,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-07,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-08,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-09,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-10,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-11,5,0,0,,0,0,8,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-12,7,2,0,,0,0,12,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-13,7,0,0,,0,0,12,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-14,7,0,0,,0,0,12,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-15,7,0,0,,0,0,12,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-16,7,0,0,,0,0,12,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-17,7,0,0,,0,0,12,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-18,7,0,0,,0,0,12,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-19,55,48,7,,0,0,93,81,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-20,55,0,7,,0,0,93,0,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-21,55,0,7,,0,0,93,0,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-22,55,0,7,,0,0,93,0,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-23,55,0,7,,0,0,93,0,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-24,55,0,7,,0,0,93,0,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-25,55,0,7,,0,0,93,0,12,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-26,90,35,5,,0,0,152,59,8,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-27,90,0,5,,0,0,152,0,8,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
CPV,Africa,Cape Verde,2020-04-28,90,0,5,,0,0,152,0,8,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,136,26,4,3,6223,,182,2,2,16,,2,73,1,593162,,,,
